red 1,red 2,red 3,red 4,red 5,red 6,red 7,red 8,red 9,red 10,red 11,red 12,red 13,red 14,red 15,red 16,red 17,red 18,red 19,red 20
36.06,40.57,40.57,41.7,45.08,41.7,42.83,41.7,43.95,43.95,43.95,43.95,43.95,43.95,43.95,45.08,43.95,45.08,45.08,45.08
69.87,69.87,71,73.25,74.38,73.25,72.13,72.13,72.13,72.13,71,71,71,69.87,68.75,68.75,71,71,71,71
24.79,22.54,22.54,22.54,21.41,21.41,21.41,21.41,21.41,20.29,21.41,21.41,20.29,20.29,21.41,21.41,20.29,21.41,21.41,21.41
24.79,31.56,29.3,60.86,68.75,47.33,47.33,46.21,46.21,45.08,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83
29.3,27.05,27.05,25.92,25.92,25.92,25.92,24.79,24.79,24.79,24.79,25.92,24.79,24.79,25.92,25.92,24.79,25.92,24.79,25.92
18.03,18.03,19.16,19.16,19.16,19.16,20.29,20.29,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16
33.81,32.68,43.95,39.44,37.19,34.94,33.81,33.81,33.81,33.81,33.81,32.68,32.68,32.68,32.68,32.68,31.56,31.56,31.56,31.56
41.7,42.83,42.83,42.83,43.95,45.08,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21
15.78,15.78,15.78,15.78,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,15.78,16.9,16.9,15.78,15.78,15.78,15.78
23.67,22.54,22.54,23.67,23.67,24.79,24.79,24.79,25.92,27.05,27.05,25.92,27.05,27.05,27.05,28.17,28.17,27.05,28.17,27.05
16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,18.03,18.03,18.03,19.16,19.16,18.03,19.16,19.16,19.16,19.16,19.16
13.52,13.52,12.4,12.4,12.4,12.4,13.52,13.52,12.4,13.52,12.4,13.52,12.4,12.4,12.4,13.52,12.4,13.52,13.52,12.4
13.52,13.52,12.4,12.4,12.4,12.4,13.52,13.52,12.4,13.52,12.4,13.52,12.4,12.4,12.4,13.52,12.4,13.52,13.52,12.4
41.7,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83
23.67,23.67,23.67,22.54,22.54,22.54,22.54,22.54,23.67,23.67,23.67,23.67,23.67,23.67,23.67,23.67,23.67,23.67,23.67,22.54
32.68,32.68,33.81,33.81,33.81,33.81,33.81,32.68,33.81,33.81,33.81,33.81,34.94,34.94,34.94,34.94,34.94,36.06,36.06,36.06
29.3,28.17,29.3,28.17,27.05,27.05,25.92,25.92,25.92,24.79,24.79,23.67,24.79,24.79,24.79,24.79,24.79,28.17,28.17,27.05
33.81,33.81,32.68,32.68,32.68,32.68,32.68,32.68,32.68,31.56,33.81,33.81,33.81,33.81,34.94,34.94,34.94,34.94,34.94,34.94
24.79,31.56,29.3,60.86,68.75,47.33,47.33,46.21,46.21,45.08,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83
22.54,21.41,22.54,22.54,21.41,20.29,20.29,20.29,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,18.03,18.03,18.03
66.49,65.36,64.24,63.11,63.11,63.11,61.98,61.98,61.98,61.98,61.98,61.98,60.86,60.86,60.86,60.86,60.86,61.98,61.98,61.98
13.52,13.52,12.4,12.4,12.4,12.4,13.52,13.52,12.4,13.52,12.4,13.52,12.4,12.4,12.4,13.52,12.4,13.52,13.52,12.4
40.57,40.57,40.57,40.57,40.57,41.7,41.7,41.7,41.7,41.7,41.7,40.57,40.57,40.57,40.57,40.57,40.57,40.57,40.57,40.57
50.71,47.33,47.33,47.33,47.33,49.59,52.97,54.09,52.97,52.97,54.09,56.35,55.22,52.97,54.09,55.22,55.22,55.22,55.22,55.22
38.32,39.44,39.44,39.44,39.44,39.44,40.57,40.57,40.57,40.57,40.57,40.57,40.57,40.57,40.57,40.57,40.57,40.57,41.7,40.57
15.78,15.78,15.78,15.78,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,15.78,16.9,16.9,15.78,15.78,15.78,15.78
49.59,24.79,29.3,33.81,32.68,31.56,34.94,34.94,34.94,34.94,34.94,33.81,34.94,33.81,33.81,33.81,33.81,33.81,33.81,33.81
15.78,15.78,15.78,15.78,15.78,15.78,15.78,15.78,15.78,15.78,15.78,15.78,15.78,15.78,15.78,15.78,15.78,14.65,15.78,14.65
15.78,15.78,15.78,15.78,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,15.78,16.9,16.9,15.78,15.78,15.78,15.78
57.48,58.6,71,77.76,82.27,82.27,83.4,83.4,83.4,84.52,84.52,84.52,84.52,85.65,85.65,85.65,84.52,84.52,85.65,84.52
110.44,109.32,105.94,108.19,111.57,110.44,108.19,107.06,107.06,109.32,111.57,110.44,109.32,109.32,99.17,101.43,104.81,96.92,98.05,100.3
61.98,63.11,64.24,64.24,64.24,64.24,64.24,65.36,65.36,65.36,65.36,65.36,65.36,65.36,65.36,65.36,65.36,65.36,65.36,65.36
48.46,47.33,47.33,47.33,47.33,48.46,48.46,49.59,49.59,49.59,49.59,49.59,49.59,49.59,48.46,48.46,49.59,49.59,49.59,49.59
55.22,57.48,58.6,58.6,58.6,58.6,57.48,57.48,57.48,57.48,57.48,56.35,57.48,57.48,57.48,57.48,56.35,57.48,57.48,57.48
36.06,40.57,40.57,41.7,45.08,41.7,42.83,41.7,43.95,43.95,43.95,43.95,43.95,43.95,43.95,45.08,43.95,45.08,45.08,45.08
42.83,33.81,39.44,39.44,38.32,39.44,39.44,39.44,38.32,39.44,39.44,37.19,39.44,39.44,39.44,39.44,40.57,38.32,38.32,39.44
69.87,66.49,65.36,67.62,66.49,65.36,64.24,64.24,64.24,63.11,63.11,61.98,61.98,61.98,63.11,63.11,63.11,63.11,63.11,63.11
112.7,113.82,113.82,125.09,123.97,126.22,127.35,127.35,126.22,127.35,127.35,127.35,127.35,127.35,128.48,129.6,129.6,130.73,130.73,128.48
92.41,99.17,101.43,100.3,99.17,101.43,101.43,103.68,103.68,103.68,104.81,104.81,105.94,105.94,107.06,107.06,107.06,105.94,105.94,107.06
54.09,48.46,48.46,46.21,46.21,43.95,43.95,47.33,48.46,48.46,48.46,47.33,45.08,47.33,46.21,46.21,46.21,45.08,45.08,46.21
50.71,51.84,51.84,52.97,52.97,54.09,55.22,55.22,54.09,56.35,56.35,55.22,56.35,56.35,55.22,56.35,55.22,55.22,56.35,56.35
54.09,51.84,52.97,51.84,51.84,52.97,51.84,50.71,50.71,52.97,51.84,51.84,54.09,52.97,52.97,51.84,51.84,46.21,52.97,51.84
43.95,50.71,49.59,49.59,48.46,51.84,51.84,51.84,49.59,48.46,47.33,47.33,46.21,46.21,46.21,45.08,43.95,43.95,43.95,43.95
